city,temp,humidity,wind,pressure,timestamp
Tokyo,21.7,78,2.57,1009,1749307835
Dubai,33.96,55,6.17,1005,1749308104
London,16.14,74,5.14,1005,1749307860
Paris,20.01,57,7.2,1011,1749308157
Dehli,36.05,36,2.57,1001,1749307992
Tokyo,21.7,78,2.57,1009,1749307720
Karachi,29.9,66,7.72,1007,1749308216
Dubai,33.96,55,6.17,1005,1749307641
Cairo,35.42,24,5.66,1009,1749308249
Sydney,11.0,63,4.63,1006,1749307927
Mumbai,26.99,74,1.54,1010,1749308250
Istanbul,23.42,60,8.75,1016,1749308030
Berlin,18.46,85,3.13,1008,1749307503
Seoul,20.76,100,2.57,1009,1749307763
Toronto,23.14,46,3.09,1012,1749307685
Rome,26.66,86,2.57,1014,1749308123
Toronto,22.98,46,3.09,1012,1749308358
Dubai,33.96,55,6.17,1005,1749308277
Berlin,18.55,84,3.13,1008,1749308120
Dehli,36.05,36,2.57,1001,1749308307
Tokyo,21.7,78,2.57,1009,1749308321
Dubai,33.96,55,6.17,1005,1749307961
Mumbai,26.99,74,1.54,1010,1749308251
Istanbul,23.42,60,8.75,1016,1749308296
Seoul,20.76,100,2.57,1009,1749308078
Toronto,22.98,46,3.09,1012,1749308225
Bangkok,29.85,75,4.92,1007,1749308296
London,15.54,77,5.14,1005,1749308461
Dubai,33.96,55,6.17,1005,1749308414
Sydney,11.04,63,4.63,1006,1749308537
Seoul,20.76,100,2.57,1009,1749308701
London,15.93,75,5.14,1005,1749308223
Paris,20.01,57,7.2,1011,1749308273
Dehli,36.05,36,2.57,1002,1749308837
Tokyo,21.7,78,2.57,1009,1749308623
Dubai,33.96,55,6.17,1005,1749308598
Sydney,11.03,63,4.63,1006,1749308232
Mumbai,26.99,74,1.54,1010,1749308611
Istanbul,22.31,64,8.23,1016,1749308715
Seoul,20.76,100,2.57,1009,1749308766
Toronto,23.13,46,3.09,1012,1749308585
Bangkok,29.85,75,4.92,1007,1749308336
Rome,26.91,84,3.09,1014,1749308740
Karachi,29.9,66,7.72,1007,1749308767
Sydney,10.95,63,4.63,1006,1749308948
Paris,19.82,59,7.2,1012,1749308906
Cairo,35.42,24,5.66,1008,1749309022
Berlin,18.81,83,3.09,1008,1749309037
London,15.48,79,5.66,1005,1749308825
Bangkok,29.85,80,4.92,1007,1749308925
London,15.57,78,5.66,1005,1749309155
Dehli,36.05,36,2.57,1002,1749309163
Tokyo,21.7,78,2.57,1009,1749309044
Dubai,33.96,55,5.66,1004,1749308730
Cairo,35.42,24,5.66,1008,1749308886
Mumbai,26.99,74,2.06,1010,1749308911
Istanbul,22.31,64,8.23,1016,1749309166
Berlin,18.81,83,3.09,1008,1749309112
Seoul,22.78,78,2.57,1009,1749309004
Toronto,23.62,48,2.68,1012,1749308994
Bangkok,29.85,80,4.92,1007,1749308939
Rome,26.92,84,3.09,1014,1749309168
London,15.57,78,5.66,1005,1749309217
Paris,19.82,59,7.2,1012,1749309252
Dehli,35.05,41,1.54,1002,1749309425
Tokyo,21.7,78,2.57,1009,1749308925
Karachi,29.9,66,7.72,1007,1749308888
Dubai,33.96,55,5.66,1004,1749309064
Cairo,35.42,24,5.66,1008,1749309349
Sydney,10.95,63,4.63,1006,1749309138
Mumbai,26.99,74,2.06,1010,1749309356
Istanbul,22.31,64,8.23,1016,1749309185
Seoul,22.78,78,2.57,1009,1749309307
Toronto,23.61,45,4.63,1012,1749309408
Tokyo,21.36,78,3.09,1009,1749309539
Karachi,29.9,66,7.72,1007,1749309450
Bangkok,29.85,80,4.92,1007,1749309534
Berlin,19.1,81,3.09,1008,1749309652
Paris,19.76,60,7.2,1012,1749309533
Dehli,35.05,41,1.54,1002,1749309753
Dubai,33.96,55,5.66,1004,1749309692
Cairo,35.42,24,5.66,1008,1749309330
Sydney,10.95,63,4.63,1006,1749309249
Mumbai,26.99,74,2.06,1010,1749309739
Berlin,19.1,81,3.09,1008,1749309756
Seoul,22.78,78,2.57,1009,1749309077
Rome,26.95,84,3.09,1014,1749309612
Tokyo,21.36,78,3.09,1009,1749309653
Bangkok,29.85,80,4.92,1007,1749309547
Sydney,10.83,64,4.12,1006,1749309860
Istanbul,22.31,64,8.23,1015,1749309956
Seoul,19.76,100,2.06,1009,1749309936
London,15.08,80,4.02,1005,1749309843
Cairo,35.42,24,5.66,1008,1749309748
Sydney,10.91,63,4.12,1006,1749309449
Mumbai,26.99,74,2.06,1010,1749309746
Toronto,23.86,45,4.63,1011,1749309759
Bangkok,29.85,80,4.92,1007,1749309837
Rome,26.95,83,3.09,1014,1749310024
London,15.02,81,4.02,1005,1749310169
Dehli,35.05,41,1.54,1002,1749310159
Tokyo,21.36,78,3.09,1009,1749309842
Karachi,29.9,66,8.23,1007,1749310087
Dubai,33.96,55,5.66,1004,1749310051
Cairo,35.42,24,5.66,1008,1749310070
Sydney,10.88,64,4.12,1006,1749310360
Mumbai,26.99,74,2.06,1010,1749310359
Istanbul,22.31,64,8.23,1015,1749310245
Berlin,19.03,81,3.58,1008,1749310082
Seoul,19.76,100,2.06,1009,1749310057
Toronto,23.92,45,4.63,1011,1749310172
Bangkok,29.85,80,4.92,1007,1749310163
Rome,27.48,81,3.09,1013,1749310363
Paris,19.76,60,7.2,1011,1749310338
Tokyo,21.36,78,3.09,1009,1749310164
Karachi,29.9,66,8.23,1007,1749310245
Cairo,34.42,26,5.66,1009,1749310476
Sydney,11.01,63,4.12,1006,1749310173
Istanbul,22.31,64,7.2,1015,1749310622
Berlin,19.0,80,3.58,1008,1749310400
Seoul,19.76,100,2.06,1009,1749310357
Toronto,24.03,44,4.63,1012,1749310547
Rome,26.95,83,3.09,1014,1749310033
London,14.86,82,5.66,1005,1749310399
Paris,19.74,60,7.2,1011,1749310685
Dehli,35.05,41,1.54,1002,1749310520
Rome,27.7,81,3.09,1013,1749310694
Dubai,33.96,59,4.63,1005,1749310672
Sydney,10.88,64,4.12,1006,1749310661
Paris,19.74,61,7.2,1011,1749310866
Dehli,35.05,41,1.54,1002,1749310949
Tokyo,21.49,78,3.09,1008,1749310559
Karachi,29.9,66,8.23,1007,1749310782
Cairo,34.42,26,5.66,1009,1749310693
Sydney,10.88,64,4.12,1006,1749310489
Mumbai,26.99,74,1.54,1010,1749310895
Istanbul,22.31,64,7.2,1015,1749310836
Berlin,19.34,79,3.09,1007,1749310707
Toronto,24.04,45,4.63,1012,1749310890
Bangkok,29.85,75,4.55,1007,1749310785
Sydney,10.88,64,4.12,1006,1749310967
Seoul,19.76,100,2.06,1009,1749310980
London,13.48,89,2.24,1004,1749315817
Paris,18.77,67,7.72,1011,1749315585
Dehli,34.05,43,1.54,1003,1749316087
Tokyo,21.49,81,1.54,1008,1749315946
Karachi,29.9,66,7.72,1008,1749315643
Dubai,32.96,66,4.12,1005,1749315914
Cairo,33.42,29,5.66,1010,1749315546
Sydney,10.63,65,4.63,1005,1749315902
Mumbai,26.99,78,1.54,1011,1749316087
Istanbul,21.2,68,8.75,1015,1749315846
Berlin,19.2,77,6.26,1007,1749315701
Seoul,19.76,100,2.06,1008,1749315871
Toronto,23.92,42,4.47,1011,1749315425
Bangkok,29.76,80,3.84,1007,1749315715
Rome,29.91,72,4.12,1013,1749316021
Paris,18.53,69,7.2,1011,1749316215
Cairo,32.42,31,6.69,1010,1749316319
Toronto,24.35,43,4.47,1011,1749316321
Berlin,18.84,77,6.26,1007,1749316322
Bangkok,29.76,80,3.84,1007,1749316320
Dubai,31.96,74,4.12,1005,1749316264
London,13.49,89,4.12,1004,1749316532
Karachi,29.9,66,6.17,1008,1749316494
Seoul,19.76,100,2.06,1008,1749316508
Dehli,34.05,43,2.06,1003,1749316488
Tokyo,21.49,81,1.03,1008,1749316559
Sydney,10.54,64,5.14,1005,1749316527
Mumbai,25.99,83,1.54,1011,1749316473
Istanbul,21.2,68,8.23,1015,1749316530
Rome,29.91,72,4.12,1013,1749316463
Paris,18.33,70,7.2,1011,1749316740
Dubai,31.96,74,4.12,1005,1749316428
Cairo,32.42,31,6.69,1010,1749316631
Sydney,10.54,64,5.14,1004,1749316827
Mumbai,25.99,83,1.54,1011,1749316581
Istanbul,21.2,68,8.23,1015,1749316922
Berlin,18.84,77,6.26,1007,1749316300
Seoul,19.76,100,2.06,1008,1749316308
Rome,29.43,71,4.12,1014,1749316855
London,13.49,90,4.12,1004,1749316750
Paris,18.3,70,7.2,1011,1749316912
Dehli,34.05,43,2.06,1003,1749316985
Tokyo,21.49,82,1.03,1008,1749316639
Berlin,18.18,80,6.26,1007,1749317072
Bangkok,29.76,79,3.84,1007,1749316927
Seoul,19.76,100,1.54,1008,1749317139
London,13.45,90,4.12,1004,1749317155
Paris,18.3,70,7.2,1011,1749317229
Tokyo,21.49,82,1.03,1008,1749317245
Karachi,29.9,66,6.17,1008,1749317246
Dubai,31.96,74,4.12,1005,1749316910
Cairo,32.42,31,6.69,1010,1749317192
Sydney,10.54,64,5.14,1005,1749316631
Mumbai,25.99,83,1.54,1011,1749317231
Istanbul,21.2,68,8.23,1015,1749316848
Berlin,18.18,80,6.26,1007,1749317039
Toronto,23.99,40,4.47,1011,1749317203
Bangkok,29.76,79,3.84,1007,1749316607
Rome,29.34,71,4.12,1014,1749317248
Bangkok,29.76,79,3.84,1007,1749317228
